region,rubric,count,rank
Вологодский район,"Спортивный, тренажёрный зал",3,4.0
Вологодский район,Фитнес-клуб,2,5.0
Вологодский район,"Шторы, карнизы",2,6.0
Вологодский район,"Ёмкостное оборудование, резервуары",1,7.0
Вологодский район,"Автосервис, автотехцентр",1,8.0
Вологодский район,Банкетный зал,1,9.0
Воронеж,Ресторан,634,1.0
Воронеж,Кафе,609,2.0
Воронеж,Гостиница,528,3.0
Воронеж,"Бар, паб",237,4.0
Воронеж,Магазин продуктов,231,5.0
Воронеж,Супермаркет,204,6.0
Воронеж,Быстрое питание,191,7.0
Воронеж,Салон красоты,181,8.0
Воронеж,"Автосервис, автотехцентр",144,9.0
Воронежская обл.,Быстрое питание,2,1.0
Воронежская обл.,Доставка еды и обедов,2,2.0
Воронежская обл.,Жилой комплекс,2,3.0
Воронежская обл.,Кафе,2,4.0
Воронежская обл.,"База, дом отдыха",1,5.0
Воронежская обл.,Банкетный зал,1,6.0
Воронежская обл.,"Бар, паб",1,7.0
Воронежская обл.,Вейп-шоп,1,8.0
Воронежская обл.,Гостиница,1,9.0
Воронежская область,Кафе,238,1.0
Воронежская область,Ресторан,188,2.0
Воронежская область,Гостиница,154,3.0
Воронежская область,Магазин продуктов,82,4.0
Воронежская область,Супермаркет,69,5.0
Воронежская область,Быстрое питание,68,6.0
Воронежская область,Салон красоты,60,7.0
Воронежская область,"Бар, паб",53,8.0
Воронежская область,Доставка еды и обедов,47,9.0
Еврейская автономная область,Ресторан,15,1.0
Еврейская автономная область,Кафе,14,2.0
Еврейская автономная область,Гостиница,12,3.0
Еврейская автономная область,Супермаркет,8,4.0
Еврейская автономная область,Магазин продуктов,6,5.0
Еврейская автономная область,Достопримечательность,5,6.0
Еврейская автономная область,Пекарня,5,7.0
Еврейская автономная область,Быстрое питание,4,8.0
Еврейская автономная область,Косметология,4,9.0
Екатеринбург,Ресторан,22,1.0
Екатеринбург,Кафе,15,2.0
Екатеринбург,Доставка еды и обедов,12,3.0
Екатеринбург,"Бар, паб",10,4.0
Екатеринбург,Гостиница,7,5.0
Екатеринбург,Быстрое питание,5,6.0
Екатеринбург,Достопримечательность,4,7.0
Екатеринбург,Игровая комната,4,8.0
Екатеринбург,Магазин мебели,4,9.0
Забайкальский край,Кафе,78,1.0
Забайкальский край,Ресторан,70,2.0
Забайкальский край,Гостиница,41,3.0
Забайкальский край,Магазин продуктов,33,4.0
Забайкальский край,Супермаркет,25,5.0
Забайкальский край,Быстрое питание,23,6.0
Забайкальский край,"Бар, паб",22,7.0
Забайкальский край,Салон красоты,21,8.0
Забайкальский край,Музей,16,9.0
Иваново,Ресторан,166,1.0
Иваново,Кафе,162,2.0
Иваново,Гостиница,147,3.0
Иваново,Магазин продуктов,69,4.0
Иваново,Салон красоты,61,5.0
Иваново,Супермаркет,59,6.0
Иваново,Кофейня,52,7.0
Иваново,Быстрое питание,49,8.0
Иваново,"Бар, паб",48,9.0
Ивановская область,Ресторан,74,1.0
Ивановская область,Кафе,63,2.0
Ивановская область,Гостиница,59,3.0
Ивановская область,"Бар, паб",36,4.0
Ивановская область,Быстрое питание,31,5.0
Ивановская область,Магазин продуктов,31,6.0
Ивановская область,Салон красоты,27,7.0
Ивановская область,Супермаркет,26,8.0
Ивановская область,Ногтевая студия,21,9.0
Ивановский район,Гостиница,15,1.0
Ивановский район,Кафе,7,2.0
Ивановский район,Доставка еды и обедов,6,3.0
Ивановский район,Ресторан,5,4.0
Ивановский район,Аттракцион,3,5.0
Ивановский район,"Визажисты, стилисты",3,6.0
Ивановский район,Ногтевая студия,3,7.0
Ивановский район,Парк аттракционов,3,8.0
Ивановский район,Пиццерия,3,9.0
Ижевск,Гостиница,5,1.0
Ижевск,Аптека,3,2.0
Ижевск,Магазин продуктов,3,3.0
Ижевск,Детская площадка,2,4.0
Ижевск,Доставка еды и обедов,2,5.0
Ижевск,Ресторан,2,6.0
Ижевск,Столовая,2,7.0
Ижевск,Автомойка,1,8.0
Ижевск,"База, дом отдыха",1,9.0
Иркутск,Кафе,231,1.0
Иркутск,Ресторан,215,2.0
Иркутск,Гостиница,193,3.0
Иркутск,Супермаркет,81,4.0
Иркутск,Магазин продуктов,73,5.0
Иркутск,Салон красоты,73,6.0
Иркутск,"Бар, паб",63,7.0
Иркутск,Быстрое питание,56,8.0
Иркутск,"Автосервис, автотехцентр",45,9.0
Иркутская обл.,Кафе,2,1.0
Иркутская обл.,Агентство недвижимости,1,2.0
Иркутская обл.,Гостиница,1,3.0
Иркутская обл.,Заказ автомобилей,1,4.0
Иркутская обл.,Кондитерская,1,5.0
Иркутская обл.,Кофейня,1,6.0
Иркутская обл.,Прокат автомобилей,1,7.0
Иркутская обл.,Ремонт велосипедов,1,8.0
Иркутская область,Кафе,144,1.0
Иркутская область,Ресторан,138,2.0
Иркутская область,Гостиница,106,3.0
Иркутская область,"Бар, паб",52,4.0
Иркутская область,Салон красоты,43,5.0
Иркутская область,Магазин продуктов,39,6.0
Иркутская область,Супермаркет,37,7.0
Иркутская область,Быстрое питание,34,8.0
Иркутская область,Кофейня,34,9.0
Иркутский район,Гостиница,30,1.0
Иркутский район,Ресторан,24,2.0
Иркутский район,Кафе,12,3.0
Иркутский район,Салон красоты,12,4.0
Иркутский район,Доставка еды и обедов,10,5.0
Иркутский район,Магазин продуктов,10,6.0
Иркутский район,Супермаркет,9,7.0
Иркутский район,Быстрое питание,8,8.0
Иркутский район,Гипермаркет,8,9.0
Кабардино-Балкарская Республика,Кафе,161,1.0
Кабардино-Балкарская Республика,Ресторан,161,2.0
Кабардино-Балкарская Республика,Гостиница,107,3.0
Кабардино-Балкарская Республика,Магазин продуктов,61,4.0
Кабардино-Балкарская Республика,Быстрое питание,53,5.0
Кабардино-Балкарская Республика,Супермаркет,51,6.0
Кабардино-Балкарская Республика,Доставка еды и обедов,38,7.0
Кабардино-Балкарская Республика,"Бар, паб",37,8.0
Кабардино-Балкарская Республика,Ногтевая студия,34,9.0
Казань,Кондитерская,6,1.0
Казань,Ресторан,6,2.0
Казань,"Бар, паб",5,3.0
Казань,Кафе,5,4.0
Казань,Быстрое питание,4,5.0
Казань,Гостиница,4,6.0
Казань,Кофейня,4,7.0
Казань,Пекарня,4,8.0
Казань,Доставка еды и обедов,3,9.0
Калининград,Кафе,429,1.0
Калининград,Ресторан,395,2.0
Калининград,Гостиница,293,3.0
Калининград,Магазин продуктов,165,4.0
Калининград,Супермаркет,155,5.0
Калининград,Доставка еды и обедов,133,6.0
Калининград,Салон красоты,122,7.0
Калининград,"Бар, паб",121,8.0
Калининград,Быстрое питание,106,9.0
Калининградская обл.,Салон красоты,3,1.0
Калининградская обл.,АЗС,2,2.0
Калининградская обл.,Дополнительное образование,2,3.0
Калининградская обл.,Ногтевая студия,2,4.0
Калининградская обл.,Станция зарядки электромобилей,2,5.0
Калининградская обл.,Автоподбор,1,6.0
Калининградская обл.,Аренда площадок для культурно-массовых мероприятий,1,7.0
Калининградская обл.,ВУЗ,1,8.0
Калининградская обл.,Веломагазин,1,9.0
Калининградская область,Кафе,290,1.0
Калининградская область,Ресторан,259,2.0
Калининградская область,Гостиница,205,3.0
Калининградская область,Магазин продуктов,126,4.0
Калининградская область,Супермаркет,119,5.0
Калининградская область,"Бар, паб",96,6.0
Калининградская область,Салон красоты,77,7.0
